time_lsl,BreathingValue
167935.18439399957,468.0
167935.20414763613,444.0
167935.22390127272,423.0
167935.24365490928,401.0
167935.26340854584,377.0
167935.2831621824,351.0
167935.302915819,326.0
167935.32266945555,303.0
167935.3424230921,283.0
167935.36217672867,265.0
167935.38193036523,247.0
167935.40168400182,227.0
167935.42143763838,206.0
167935.44119127493,183.0
167935.4609449115,161.0
167935.48069854808,142.0
167935.50045218464,124.0
167935.5202058212,109.0
167935.53995945776,93.0
167935.55971309435,76.0
167935.5794667309,57.0
167935.59922036747,38.0
167935.61897400403,19.0
167935.6387276406,10.0
167935.65848127718,1.0
167935.67823491374,0.0
167935.6979885503,0.0
167935.71774218685,0.0
167935.73749582344,0.0
167935.75724946,0.0
167935.77700309656,0.0
167935.79675673312,0.0
167935.8165103697,0.0
167935.83626400627,0.0
167935.85601764283,0.0
167935.8757712794,0.0
167935.89552491598,0.0
167935.91527855254,0.0
167935.9350321891,0.0
167935.95478582566,0.0
167935.97453946222,0.0
167935.9942930988,0.0
167936.01404673536,0.0
167936.03380037192,0.0
167936.05355400848,0.0
167936.07330764507,0.0
167936.09306128163,0.0
167936.1128149182,0.0
167936.13256855475,0.0
167936.15232219134,0.0
167936.1720758279,0.0
167936.19182946446,0.0
167936.21158310102,0.0
167936.23133673758,0.0
167936.25109037416,10.0
167936.27084401072,26.0
167936.29059764728,52.0
167936.31035128384,83.0
167936.33010492043,114.0
167936.349858557,146.0
167936.36961219355,178.0
167936.3893658301,208.0
167936.4091194667,236.0
167936.42887310326,257.0
167936.44862673982,276.0
167936.46838037638,293.0
167936.48813401297,313.0
167936.50788764952,338.0
167936.52764128608,369.0
167936.54739492264,406.0
167936.5671485592,443.0
167936.5869021958,477.0
167936.60665583235,504.0
167936.6264094689,526.0
167936.64616310547,544.0
167936.66591674206,564.0
167936.68567037862,585.0
167936.70542401518,608.0
167936.72517765174,630.0
167936.74493128833,649.0
167936.76468492488,663.0
167936.78443856144,675.0
167936.804192198,686.0
167936.82394583456,700.0
167936.84369947115,712.0
167936.8634531077,726.0
167936.88320674427,736.0
167936.90296038083,745.0
167936.92271401742,753.0
167936.94246765398,761.0
167936.96222129054,770.0
167936.9819749271,780.0
167937.0017285637,789.0
167937.02148220025,797.0
167937.0412358368,804.0
167937.06098947336,810.0
167937.08074310995,815.0
167937.1004967465,818.0
