time_lsl,t_device,uV,device,seq,fs
222970.9734110857,1756024862.566824,-120,H10,6,130.0
222970.98110339337,1756024862.566824,-120,H10,6,130.0
222970.98879570107,1756024862.566824,-117,H10,6,130.0
222970.99648800876,1756024862.566824,-113,H10,6,130.0
222971.00418031646,1756024862.566824,-113,H10,6,130.0
222971.01187262413,1756024862.566824,-110,H10,6,130.0
222971.0721610378,1756024863.149992,-105,H10,7,130.0
222971.0798533455,1756024863.149992,-98,H10,7,130.0
222971.0875456532,1756024863.149992,-96,H10,7,130.0
222971.09523796086,1756024863.149992,-93,H10,7,130.0
222971.10293026856,1756024863.149992,-88,H10,7,130.0
222971.11062257626,1756024863.149992,-84,H10,7,130.0
222971.11831488396,1756024863.149992,-86,H10,7,130.0
222971.12600719163,1756024863.149992,-86,H10,7,130.0
222971.13369949933,1756024863.149992,-84,H10,7,130.0
222971.14139180703,1756024863.149992,-81,H10,7,130.0
222971.14908411473,1756024863.149992,-81,H10,7,130.0
222971.1567764224,1756024863.149992,-81,H10,7,130.0
222971.1644687301,1756024863.149992,-81,H10,7,130.0
222971.1721610378,1756024863.149992,-79,H10,7,130.0
222971.1798533455,1756024863.149992,-81,H10,7,130.0
222971.18754565317,1756024863.149992,-84,H10,7,130.0
222971.19523796087,1756024863.149992,-81,H10,7,130.0
222971.20293026857,1756024863.149992,-79,H10,7,130.0
222971.21062257627,1756024863.149992,-84,H10,7,130.0
222971.21831488394,1756024863.149992,-86,H10,7,130.0
222971.22600719164,1756024863.149992,-86,H10,7,130.0
222971.23369949934,1756024863.149992,-84,H10,7,130.0
222971.24139180704,1756024863.149992,-81,H10,7,130.0
222971.2490841147,1756024863.149992,-79,H10,7,130.0
222971.2567764224,1756024863.149992,-79,H10,7,130.0
222971.2644687301,1756024863.149992,-81,H10,7,130.0
222971.2721610378,1756024863.149992,-79,H10,7,130.0
222971.27985334548,1756024863.149992,-76,H10,7,130.0
222971.28754565318,1756024863.149992,-76,H10,7,130.0
222971.29523796088,1756024863.149992,-76,H10,7,130.0
222971.30293026858,1756024863.149992,-74,H10,7,130.0
222971.31062257625,1756024863.149992,-74,H10,7,130.0
222971.31831488395,1756024863.149992,-74,H10,7,130.0
222971.32600719164,1756024863.149992,-72,H10,7,130.0
222971.33369949934,1756024863.149992,-69,H10,7,130.0
222971.34139180701,1756024863.149992,-72,H10,7,130.0
222971.3490841147,1756024863.149992,-76,H10,7,130.0
222971.3567764224,1756024863.149992,-74,H10,7,130.0
222971.3644687301,1756024863.149992,-72,H10,7,130.0
222971.37216103778,1756024863.149992,-72,H10,7,130.0
222971.37985334548,1756024863.149992,-74,H10,7,130.0
222971.38754565318,1756024863.149992,-76,H10,7,130.0
222971.39523796088,1756024863.149992,-76,H10,7,130.0
222971.40293026855,1756024863.149992,-74,H10,7,130.0
222971.41062257625,1756024863.149992,-72,H10,7,130.0
222971.41831488395,1756024863.149992,-72,H10,7,130.0
222971.42600719165,1756024863.149992,-69,H10,7,130.0
222971.43369949932,1756024863.149992,-76,H10,7,130.0
222971.44139180702,1756024863.149992,-81,H10,7,130.0
222971.44908411472,1756024863.149992,-69,H10,7,130.0
222971.45677642242,1756024863.149992,-52,H10,7,130.0
222971.4644687301,1756024863.149992,-36,H10,7,130.0
222971.4721610378,1756024863.149992,-24,H10,7,130.0
222971.4798533455,1756024863.149992,-36,H10,7,130.0
222971.4875456532,1756024863.149992,-60,H10,7,130.0
222971.49523796086,1756024863.149992,-72,H10,7,130.0
222971.50293026856,1756024863.149992,-69,H10,7,130.0
