time_lsl,t_device,x_mG,y_mG,z_mG,device,seq,fs,range_g
222972.5335837534,1756024864.275679,-788,67,498,H10,8,50.0,4
222972.5535837534,1756024864.275679,-794,68,491,H10,8,50.0,4
222972.5735837534,1756024864.275679,-795,67,483,H10,8,50.0,4
222972.59358375342,1756024864.275679,-791,69,491,H10,8,50.0,4
222972.6135837534,1756024864.275679,-791,71,495,H10,8,50.0,4
222972.6335837534,1756024864.275679,-799,69,485,H10,8,50.0,4
222972.65358375342,1756024864.275679,-798,70,481,H10,8,50.0,4
222972.62943317412,1756024864.951326,-797,68,484,H10,9,50.0,4
222972.6494331741,1756024864.951326,-793,67,487,H10,9,50.0,4
222972.66943317413,1756024864.951326,-793,64,488,H10,9,50.0,4
222972.68943317412,1756024864.951326,-794,66,489,H10,9,50.0,4
222972.7094331741,1756024864.951326,-794,70,487,H10,9,50.0,4
222972.72943317413,1756024864.951326,-796,67,484,H10,9,50.0,4
222972.74943317412,1756024864.951326,-796,63,487,H10,9,50.0,4
222972.76943317414,1756024864.951326,-797,63,493,H10,9,50.0,4
222972.78943317413,1756024864.951326,-802,67,489,H10,9,50.0,4
222972.80943317412,1756024864.951326,-800,63,484,H10,9,50.0,4
222972.82943317413,1756024864.951326,-792,71,486,H10,9,50.0,4
222972.84943317412,1756024864.951326,-793,74,488,H10,9,50.0,4
222972.8694331741,1756024864.951326,-797,75,484,H10,9,50.0,4
222972.88943317413,1756024864.951326,-800,75,481,H10,9,50.0,4
222972.90943317412,1756024864.951326,-801,76,479,H10,9,50.0,4
222972.9294331741,1756024864.951326,-800,76,480,H10,9,50.0,4
222972.94943317413,1756024864.951326,-799,73,481,H10,9,50.0,4
222972.96943317412,1756024864.951326,-796,70,483,H10,9,50.0,4
222972.9894331741,1756024864.951326,-794,64,488,H10,9,50.0,4
222973.00943317413,1756024864.951326,-793,59,489,H10,9,50.0,4
222973.02943317412,1756024864.951326,-794,57,487,H10,9,50.0,4
222973.04943317414,1756024864.951326,-794,50,485,H10,9,50.0,4
222973.06943317413,1756024864.951326,-795,48,485,H10,9,50.0,4
222973.08943317411,1756024864.951326,-798,43,485,H10,9,50.0,4
222973.10943317413,1756024864.951326,-798,42,485,H10,9,50.0,4
222973.12943317412,1756024864.951326,-802,43,487,H10,9,50.0,4
222973.1494331741,1756024864.951326,-802,48,484,H10,9,50.0,4
222973.16943317413,1756024864.951326,-803,50,480,H10,9,50.0,4
222973.18943317412,1756024864.951326,-801,55,481,H10,9,50.0,4
222973.2094331741,1756024864.951326,-799,58,478,H10,9,50.0,4
222973.22943317413,1756024864.951326,-797,63,476,H10,9,50.0,4
222973.24943317412,1756024864.951326,-799,63,477,H10,9,50.0,4
222973.26943317414,1756024864.951326,-800,65,479,H10,9,50.0,4
222973.28943317413,1756024864.951326,-800,66,480,H10,9,50.0,4
222973.30943317412,1756024864.951326,-799,68,479,H10,9,50.0,4
222973.32943317413,1756024864.951326,-799,69,480,H10,9,50.0,4
222973.35262218385,1756024865.67086,-798,68,483,H10,10,50.0,4
222973.37262218384,1756024865.67086,-798,64,484,H10,10,50.0,4
