time_lsl,ad
62159.01329848697,632.0
62159.03304944969,628.0
62159.0528004124,627.0
62159.07255137512,626.0
62159.092302337835,625.0
62159.112053300545,622.0
62159.13180426326,616.0
62159.15155522598,614.0
62159.1713061887,612.0
62159.19105715141,612.0
62159.21080811413,610.0
62159.230559076845,609.0
62159.250310039555,604.0
62159.27006100227,602.0
62159.28981196499,597.0
62159.3095629277,596.0
62159.32931389042,597.0
62159.34906485314,599.0
62159.36881581585,602.0
62159.388566778565,602.0
62159.40831774128,599.0
62159.42806870399,594.0
62159.44781966671,588.0
62159.46757062943,579.0
62159.48732159214,570.0
62159.50707255486,555.0
62159.526823517575,536.0
62159.546574480286,517.0
62159.566325443004,502.0
62159.58607640572,499.0
62159.60582736844,501.0
62159.62557833115,506.0
62159.64532929387,503.0
62159.665080256585,488.0
62159.684831219296,464.0
62159.704582182014,438.0
62159.72433314473,412.0
62159.74408410744,393.0
62159.76383507016,377.0
62159.78358603288,365.0
62159.80333699559,354.0
62159.823087958306,343.0
62159.842838921024,333.0
62159.862589883734,323.0
62159.88234084645,314.0
62159.90209180917,306.0
62159.92184277188,296.0
62159.9415937346,288.0
62159.961344697316,279.0
62159.98109566003,270.0
62160.000846622745,261.0
62160.02059758546,253.0
62160.04034854818,245.0
62160.06009951089,236.0
62160.07985047361,228.0
62160.099601436326,219.0
62160.11935239904,209.0
62160.139103361755,201.0
62160.15885432447,193.0
62160.17860528718,183.0
62160.1983562499,171.0
62160.21810721262,155.0
62160.23785817533,136.0
62160.25760913805,121.0
62160.277360100765,110.0
62160.297111063475,107.0
62160.31686202619,107.0
62160.33661298891,107.0
62160.35636395162,100.0
62160.37611491434,89.0
62160.39586587706,75.0
62160.41561683977,62.0
62160.435367802485,52.0
62160.4551187652,46.0
62160.47486972792,43.0
62160.49462069063,42.0
62160.51437165335,46.0
62160.53412261607,50.0
62160.55387357878,59.0
62160.573624541496,72.0
62160.59337550421,87.0
62160.613126466924,106.0
62160.63287742964,126.0
62160.65262839236,149.0
62160.67237935507,170.0
62160.69213031779,192.0
62160.711881280506,211.0
62160.731632243216,231.0
62160.751383205934,250.0
62160.77113416865,269.0
62160.79088513136,289.0
62160.81063609408,309.0
62160.8303870568,329.0
62160.85013801951,346.0
62160.869888982226,356.0
62160.889639944944,363.0
62160.90939090766,362.0
62160.92914187037,363.0
62160.94889283309,366.0
62160.96864379581,379.0
62160.98839475852,398.0
62161.008145721236,425.0
62161.027896683954,451.0
62161.047647646665,474.0
62161.06739860938,488.0
62161.0871495721,500.0
62161.10690053481,506.0
62161.12665149753,514.0
62161.14640246025,522.0
62161.16615342296,533.0
62161.185904385675,544.0
62161.20565534839,556.0
62161.2254063111,566.0
62161.24515727382,577.0
62161.26490823654,587.0
62161.28465919926,597.0
62161.30441016197,607.0
62161.324161124685,614.0
62161.3439120874,622.0
62161.36366305011,627.0
62161.38341401283,633.0
62161.40316497555,638.0
62161.42291593826,644.0
62161.44266690098,650.0
62161.462417863695,657.0
62161.482168826406,664.0
62161.50191978912,670.0
62161.52167075184,675.0
62161.54142171455,678.0
62161.56117267727,679.0
62161.58092363999,676.0
62161.6006746027,668.0
62161.620425565416,654.0
62161.64017652813,640.0
62161.659927490844,628.0
62161.67967845356,630.0
62161.69942941628,640.0
62161.719180379,662.0
62161.73893134171,683.0
62161.758682304426,700.0
62161.77843326714,710.0
62161.798184229854,712.0
62161.81793519257,712.0
62161.83768615529,709.0
62161.857437118,709.0
62161.87718808072,711.0
62161.896939043436,714.0
62161.91669000615,716.0
62161.936440968864,717.0
62161.95619193158,717.0
62161.97594289429,717.0
62161.99569385701,718.0
62162.01544481973,720.0
62162.03519578244,723.0
62162.05494674516,723.0
62162.074697707874,723.0
62162.094448670585,720.0
62162.1141996333,718.0
62162.13395059602,715.0
62162.15370155874,715.0
62162.17345252145,716.0
62162.19320348417,719.0
62162.212954446884,721.0
62162.232705409595,721.0
62162.25245637231,720.0
62162.27220733503,716.0
62162.29195829774,710.0
62162.31170926046,702.0
62162.33146022318,689.0
62162.35121118589,672.0
62162.370962148605,658.0
62162.39071311132,651.0
62162.41046407403,655.0
62162.43021503675,669.0
62162.44996599947,687.0
62162.46971696218,702.0
62162.4894679249,710.0
62162.509218887615,710.0
62162.528969850326,705.0
62162.54872081304,697.0
62162.56847177576,691.0
62162.58822273848,687.0
62162.60797370119,685.0
62162.62772466391,682.0
62162.647475626625,680.0
62162.667226589336,676.0
62162.68697755205,674.0
62162.70672851477,673.0
62162.72647947748,674.0
62162.7462304402,675.0
62162.76598140292,673.0
62162.78573236563,671.0
62162.805483328346,665.0
62162.825234291064,659.0
62162.844985253774,654.0
62162.86473621649,651.0
62162.88448717921,651.0
62162.90423814192,653.0
62162.92398910464,657.0
62162.943740067356,658.0
62162.96349103007,656.0
62162.983241992784,651.0
62163.0029929555,645.0
62163.02274391822,637.0
62163.04249488093,629.0
62163.06224584365,620.0
62163.081996806366,609.0
62163.10174776908,597.0
62163.121498731794,591.0
62163.14124969451,592.0
62163.16100065722,604.0
62163.18075161994,620.0
62163.20050258266,636.0
62163.22025354537,645.0
62163.24000450809,646.0
62163.259755470805,642.0
62163.279506433515,636.0
62163.29925739623,632.0
62163.31900835895,631.0
62163.33875932166,633.0
62163.35851028438,634.0
62163.3782612471,634.0
62163.39801220981,630.0
62163.417763172525,624.0
62163.43751413524,620.0
62163.45726509796,615.0
62163.47701606067,612.0
62163.49676702339,606.0
62163.51651798611,598.0
62163.53626894882,587.0
62163.556019911535,571.0
62163.57577087425,555.0
62163.59552183696,537.0
62163.61527279968,519.0
62163.6350237624,502.0
62163.65477472511,485.0
62163.67452568783,468.0
62163.694276650545,451.0
62163.714027613256,431.0
62163.733778575974,411.0
62163.75352953869,390.0
62163.7732805014,371.0
62163.79303146412,352.0
62163.81278242684,334.0
62163.83253338955,314.0
62163.852284352266,295.0
62163.872035314984,276.0
62163.8917862777,264.0
62163.91153724041,257.0
62163.93128820313,256.0
62163.95103916585,254.0
62163.97079012856,249.0
62163.990541091276,235.0
62164.010292053994,218.0
62164.030043016704,200.0
62164.04979397942,185.0
62164.06954494214,175.0
62164.08929590485,168.0
62164.10904686757,162.0
62164.128797830286,156.0
62164.148548793,148.0
62164.168299755715,139.0
62164.18805071843,130.0
62164.20780168114,121.0
62164.22755264386,112.0
62164.24730360658,103.0
62164.267054569296,93.0
62164.28680553201,84.0
62164.306556494725,75.0
62164.32630745744,68.0
62164.34605842015,61.0
62164.36580938287,54.0
62164.38556034559,47.0
62164.4053113083,38.0
62164.42506227102,31.0
62164.444813233735,23.0
62164.464564196445,16.0
62164.48431515916,8.0
62164.50406612188,4.0
62164.52381708459,0.0
62164.54356804731,0.0
62164.56331901003,0.0
62164.58306997274,2.0
62164.602820935455,22.0
62164.62257189817,42.0
62164.642322860884,76.0
62164.6620738236,105.0
62164.68182478632,129.0
62164.70157574904,150.0
62164.72132671175,169.0
62164.741077674465,187.0
62164.76082863718,206.0
62164.780579599894,226.0
62164.80033056261,248.0
62164.82008152533,270.0
62164.83983248804,290.0
62164.85958345076,308.0
62164.879334413476,324.0
62164.899085376186,339.0
62164.918836338904,352.0
62164.93858730162,366.0
62164.95833826433,380.0
62164.97808922705,394.0
62164.99784018977,410.0
62165.01759115248,425.0
62165.037342115196,442.0
62165.057093077914,458.0
62165.076844040625,474.0
62165.09659500334,488.0
62165.11634596606,501.0
62165.13609692878,510.0
62165.15584789149,517.0
62165.175598854206,525.0
62165.195349816924,530.0
62165.215100779635,536.0
62165.23485174235,538.0
62165.25460270507,538.0
62165.27435366778,539.0
62165.2941046305,543.0
62165.31385559322,552.0
62165.33360655593,569.0
62165.353357518645,589.0
62165.37310848136,609.0
62165.39285944407,626.0
62165.41261040679,637.0
62165.43236136951,643.0
62165.45211233222,647.0
62165.47186329494,650.0
62165.491614257655,653.0
62165.511365220365,659.0
62165.53111618308,667.0
62165.5508671458,674.0
62165.57061810852,682.0
62165.59036907123,687.0
62165.61012003395,694.0
62165.629870996665,699.0
62165.649621959376,704.0
62165.66937292209,708.0
62165.68912388481,711.0
62165.70887484752,712.0
62165.72862581024,713.0
62165.74837677296,714.0
62165.76812773567,714.0
62165.787878698386,716.0
62165.8076296611,720.0
62165.827380623814,724.0
62165.84713158653,728.0
62165.86688254925,730.0
62165.88663351196,729.0
62165.90638447468,726.0
62165.926135437396,722.0
62165.945886400106,715.0
62165.965637362824,709.0
62165.98538832554,699.0
62166.00513928826,689.0
62166.02489025097,679.0
62166.04464121369,677.0
62166.064392176406,680.0
62166.084143139116,692.0
62166.103894101834,706.0
62166.12364506455,718.0
62166.14339602726,725.0
62166.16314698998,727.0
62166.1828979527,724.0
62166.20264891541,721.0
62166.22239987813,718.0
62166.242150840844,717.0
62166.261901803555,717.0
62166.28165276627,718.0
62166.30140372899,718.0
62166.3211546917,716.0
