time_lsl,x_mG,y_mG,z_mG
774258.4479129503,813.0,-537.0,-9.0
774258.467597395,813.0,-547.0,-7.0
774258.4872818395,820.0,-551.0,-2.0
774258.5069662841,824.0,-543.0,2.0
774258.5266507287,816.0,-540.0,-10.0
774258.5463351732,812.0,-541.0,-12.0
774258.5660196178,808.0,-539.0,-8.0
774258.5857040624,812.0,-540.0,-8.0
774258.605388507,812.0,-541.0,-6.0
774258.6250729515,812.0,-545.0,-5.0
774258.6447573962,812.0,-544.0,-3.0
774258.6644418407,814.0,-541.0,-6.0
774258.6841262854,814.0,-540.0,-12.0
774258.7038107299,816.0,-544.0,-7.0
774258.7234951745,815.0,-537.0,-6.0
774258.7431796191,809.0,-539.0,-6.0
774258.7628640637,807.0,-542.0,-1.0
774258.7825485083,815.0,-548.0,-6.0
774258.8022329529,818.0,-544.0,0.0
774258.8219173974,819.0,-543.0,-9.0
774258.841601842,814.0,-541.0,-10.0
774258.8612862866,811.0,-542.0,-5.0
774258.8809707311,814.0,-544.0,-4.0
774258.9006551758,812.0,-545.0,-3.0
774258.9203396203,813.0,-543.0,-1.0
774258.940024065,815.0,-540.0,-4.0
774258.9597085095,815.0,-542.0,-9.0
774258.9793929541,811.0,-547.0,-11.0
774258.9990773987,814.0,-539.0,-5.0
774259.0187618433,817.0,-541.0,-6.0
774259.0384462879,815.0,-541.0,-8.0
774259.0581307325,813.0,-543.0,-1.0
774259.077815177,813.0,-542.0,-7.0
774259.0974996217,815.0,-540.0,-3.0
774259.1171840662,814.0,-545.0,-5.0
774259.1368685107,815.0,-545.0,-4.0
774259.1565529554,816.0,-543.0,-9.0
774259.1762373999,814.0,-545.0,-5.0
774259.1959218446,815.0,-538.0,-3.0
774259.2156062891,813.0,-545.0,-4.0
774259.2352907337,815.0,-542.0,-6.0
774259.2549751783,814.0,-543.0,-1.0
774259.2746596229,815.0,-542.0,-2.0
774259.2943440675,810.0,-542.0,-11.0
774259.3140285121,814.0,-542.0,-6.0
774259.3337129566,810.0,-540.0,-7.0
774259.3533974013,812.0,-542.0,-3.0
774259.3730818458,807.0,-543.0,-6.0
774259.3927662903,812.0,-547.0,-4.0
774259.412450735,818.0,-548.0,-1.0
774259.4321351795,825.0,-544.0,-3.0
774259.4518196242,819.0,-540.0,-3.0
774259.4715040687,810.0,-544.0,-8.0
774259.4911885133,809.0,-541.0,-7.0
774259.5108729579,810.0,-539.0,-3.0
774259.5305574025,814.0,-543.0,-2.0
774259.550241847,816.0,-540.0,-1.0
774259.5699262917,816.0,-545.0,-2.0
774259.5896107362,816.0,-544.0,-6.0
774259.6092951809,813.0,-538.0,-7.0
774259.6289796254,812.0,-545.0,-1.0
774259.6486640701,813.0,-539.0,-9.0
774259.6683485146,811.0,-537.0,-9.0
774259.6880329591,810.0,-540.0,-2.0
774259.7077174038,818.0,-547.0,-6.0
774259.7274018483,821.0,-545.0,-1.0
774259.747086293,815.0,-539.0,-8.0
774259.7667707375,811.0,-539.0,-11.0
774259.7864551821,812.0,-538.0,-6.0
774259.8061396267,815.0,-540.0,-1.0
774259.8258240713,814.0,-545.0,-2.0
774259.8455085158,818.0,-541.0,-5.0
774259.8651929605,820.0,-541.0,-4.0
774259.884877405,816.0,-543.0,-5.0
774259.9045618497,816.0,-539.0,-6.0
774259.9242462942,813.0,-540.0,-5.0
774259.9439307388,814.0,-542.0,-3.0
774259.9636151834,816.0,-539.0,0.0
774259.9832996279,814.0,-544.0,-1.0
774260.0029840725,813.0,-541.0,-9.0
774260.0226685171,810.0,-543.0,-4.0
774260.0423529617,812.0,-539.0,-8.0
774260.0620374063,819.0,-543.0,-9.0
774260.0817218509,817.0,-538.0,-3.0
774260.1014062954,814.0,-540.0,-4.0
774260.1210907401,813.0,-542.0,-3.0
774260.1407751846,815.0,-545.0,-6.0
774260.1604596293,814.0,-544.0,-1.0
774260.1801440738,810.0,-543.0,-6.0
774260.1998285184,813.0,-544.0,-8.0
774260.219512963,814.0,-539.0,-4.0
774260.2391974075,817.0,-539.0,-4.0
774260.2588818521,816.0,-538.0,-6.0
774260.2785662967,812.0,-543.0,-6.0
774260.2982507413,810.0,-542.0,-3.0
774260.3179351859,813.0,-550.0,-3.0
774260.3376196305,821.0,-546.0,-3.0
774260.357304075,821.0,-538.0,-4.0
774260.3769885197,816.0,-539.0,-6.0
774260.3966729642,812.0,-541.0,-9.0
774260.4163574089,804.0,-541.0,-4.0
774260.4360418534,814.0,-542.0,-9.0
774260.455726298,819.0,-542.0,-1.0
774260.4754107426,818.0,-543.0,0.0
774260.4950951872,815.0,-543.0,-2.0
774260.5147796317,813.0,-543.0,-6.0
774260.5344640763,810.0,-541.0,-5.0
774260.5541485209,819.0,-546.0,-4.0
774260.5738329655,813.0,-538.0,-5.0
774260.5935174101,811.0,-539.0,-6.0
774260.6132018546,813.0,-543.0,-6.0
774260.6328862993,820.0,-546.0,0.0
774260.6525707438,818.0,-543.0,-3.0
774260.6722551885,810.0,-542.0,-6.0
774260.691939633,811.0,-540.0,-8.0
774260.7116240776,811.0,-543.0,-8.0
774260.7313085222,813.0,-544.0,-4.0
774260.7509929668,816.0,-541.0,-5.0
774260.7706774113,819.0,-542.0,-4.0
774260.7903618559,814.0,-547.0,-6.0
774260.8100463005,814.0,-543.0,-6.0
774260.829730745,818.0,-540.0,-9.0
774260.8494151897,815.0,-545.0,-4.0
774260.8690996342,815.0,-541.0,-4.0
774260.8887840789,812.0,-540.0,-3.0
774260.9084685234,813.0,-544.0,-3.0
774260.9281529681,812.0,-544.0,-6.0
774260.9478374126,815.0,-540.0,-9.0
774260.9675218572,818.0,-542.0,-3.0
774260.9872063018,817.0,-541.0,-2.0
774261.0068907464,814.0,-541.0,-5.0
774261.026575191,811.0,-543.0,-5.0
774261.0462596356,811.0,-544.0,-7.0
774261.0659440801,809.0,-540.0,-5.0
774261.0856285247,816.0,-543.0,-7.0
774261.1053129693,815.0,-543.0,-3.0
774261.1249974138,816.0,-539.0,-4.0
774261.1446818585,812.0,-542.0,-6.0
774261.164366303,817.0,-540.0,-4.0
774261.1840507477,814.0,-542.0,-4.0
774261.2037351922,805.0,-543.0,-2.0
774261.2234196368,808.0,-543.0,-5.0
774261.2431040814,820.0,-550.0,1.0
774261.262788526,823.0,-545.0,-4.0
774261.2824729705,819.0,-541.0,-8.0
774261.3021574152,812.0,-545.0,-7.0
774261.3218418597,806.0,-537.0,-9.0
774261.3415263044,812.0,-537.0,-4.0
774261.3612107489,810.0,-542.0,-7.0
774261.3808951934,814.0,-545.0,-1.0
774261.4005796381,819.0,-541.0,-5.0
