time_lsl,uV
567032.5770920586,-31.0
567032.5848474747,-31.0
567032.5926028908,-26.0
567032.6003583069,-28.0
567032.608113723,-45.0
567032.6158691392,-50.0
567032.6236245553,-47.0
567032.6313799714,-57.0
567032.6391353875,-67.0
567032.6468908036,-71.0
567032.6546462198,-79.0
567032.6624016359,-88.0
567032.670157052,-105.0
567032.6779124681,-122.0
567032.6856678842,-131.0
567032.6934233004,-136.0
567032.7011787165,-148.0
567032.7089341326,-155.0
567032.7166895487,-148.0
567032.7244449649,-139.0
567032.732200381,-141.0
567032.7399557971,-146.0
567032.7477112132,-143.0
567032.7554666293,-146.0
567032.7632220455,-146.0
567032.7709774616,-134.0
567032.7787328777,-122.0
567032.7864882938,-122.0
567032.7942437099,-122.0
567032.8019991261,-117.0
567032.8097545422,-117.0
567032.8175099583,-119.0
567032.8252653744,-119.0
567032.8330207906,-124.0
567032.8407762067,-122.0
567032.8485316228,-112.0
567032.8562870389,-107.0
567032.864042455,-119.0
567032.8717978712,-131.0
567032.8795532873,-127.0
567032.8873087034,-122.0
567032.8950641195,-131.0
567032.9028195356,-129.0
567032.9105749518,-119.0
567032.9183303679,-117.0
567032.926085784,-122.0
567032.9338412001,-129.0
567032.9415966163,-136.0
567032.9493520324,-136.0
567032.9571074485,-127.0
567032.9648628646,-117.0
567032.9726182807,-112.0
567032.9803736969,-112.0
567032.988129113,-119.0
567032.9958845291,-127.0
567033.0036399452,-136.0
567033.0113953613,-136.0
567033.0191507775,-127.0
567033.0269061936,-127.0
567033.0346616097,-131.0
567033.0424170258,-131.0
567033.0501724419,-127.0
567033.0579278581,-127.0
567033.0656832742,-129.0
567033.0734386903,-127.0
567033.0811941064,-115.0
567033.0889495226,45.0
567033.0967049387,462.0
567033.1044603548,718.0
567033.1122157709,289.0
567033.119971187,-361.0
567033.1277266032,-421.0
567033.1354820193,-174.0
567033.1432374354,-172.0
567033.1509928515,-220.0
567033.1587482676,-165.0
567033.1665036838,-160.0
567033.1742590999,-177.0
567033.182014516,-155.0
567033.1897699321,-150.0
567033.1975253483,-162.0
567033.2052807644,-158.0
567033.2130361805,-146.0
567033.2207915966,-141.0
567033.2285470127,-139.0
567033.2363024289,-134.0
567033.244057845,-131.0
567033.2518132611,-124.0
567033.2595686772,-115.0
567033.2673240933,-107.0
567033.2750795095,-103.0
567033.2828349256,-95.0
567033.2905903417,-88.0
567033.2983457578,-79.0
567033.306101174,-69.0
567033.3138565901,-67.0
567033.3216120062,-67.0
567033.3293674223,-71.0
567033.3371228384,-76.0
567033.3448782546,-86.0
567033.3526336707,-95.0
567033.3603890868,-107.0
567033.3681445029,-115.0
567033.375899919,-124.0
567033.3836553352,-134.0
567033.3914107513,-148.0
567033.3991661674,-165.0
567033.4069215835,-174.0
567033.4146769997,-182.0
567033.4224324158,-191.0
567033.4301878319,-196.0
567033.437943248,-196.0
567033.445698664,-198.0
567033.4534540803,-203.0
567033.4612094964,-203.0
567033.4689649125,-203.0
567033.4767203286,-198.0
567033.4844757447,-191.0
567033.4922311609,-186.0
567033.499986577,-184.0
567033.5077419931,-179.0
567033.5154974092,-172.0
567033.5232528253,-170.0
567033.5310082415,-170.0
567033.5387636576,-165.0
567033.5465190737,-160.0
567033.5542744898,-158.0
567033.562029906,-160.0
567033.5697853221,-162.0
567033.5775407382,-165.0
567033.5852961543,-165.0
567033.5930515704,-162.0
567033.6008069866,-162.0
567033.6085624027,-167.0
567033.6163178188,-167.0
567033.6240732349,-162.0
567033.631828651,-165.0
567033.6395840672,-165.0
567033.6473394833,-162.0
567033.6550948994,-160.0
567033.6628503154,-160.0
567033.6706057317,-160.0
567033.6783611478,-158.0
567033.6861165639,-155.0
567033.69387198,-158.0
567033.701627396,-158.0
567033.7093828123,-158.0
567033.7171382284,-162.0
567033.7248936445,-165.0
567033.7326490605,-160.0
567033.7404044766,-148.0
567033.7481598929,-139.0
567033.755915309,-131.0
567033.763670725,-136.0
567033.7714261411,-150.0
567033.7791815574,-155.0
567033.7869369735,-150.0
567033.7946923896,-148.0
567033.8024478056,-148.0
567033.8102032217,-146.0
567033.817958638,-146.0
567033.825714054,-148.0
567033.8334694701,-148.0
567033.8412248862,-146.0
567033.8489803023,-148.0
567033.8567357186,-129.0
567033.8644911346,81.0
567033.8722465507,532.0
567033.8800019668,762.0
567033.8877573829,316.0
567033.8955127992,-340.0
567033.9032682152,-424.0
567033.9110236313,-184.0
567033.9187790474,-179.0
567033.9265344637,-244.0
567033.9342898797,-196.0
567033.9420452958,-179.0
567033.9498007119,-201.0
567033.957556128,-191.0
567033.9653115442,-184.0
567033.9730669603,-194.0
567033.9808223764,-186.0
567033.9885777925,-177.0
567033.9963332086,-177.0
567034.0040886248,-172.0
567034.011844041,-162.0
567034.019599457,-155.0
567034.0273548731,-148.0
567034.0351102893,-141.0
567034.0428657054,-131.0
567034.0506211215,-127.0
567034.0583765376,-117.0
567034.0661319537,-107.0
567034.07388737,-98.0
567034.081642786,-91.0
567034.0893982021,-86.0
567034.0971536182,-88.0
567034.1049090343,-91.0
567034.1126644505,-95.0
567034.1204198666,-103.0
567034.1281752827,-107.0
567034.1359306988,-115.0
567034.143686115,-122.0
567034.1514415311,-127.0
567034.1591969472,-131.0
567034.1669523633,-136.0
567034.1747077794,-146.0
567034.1824631956,-158.0
