time_lsl,ch1,ch2,ch3,ch4
567063.029315198,401994.0,436600.0,452391.0,174498.0
567063.04764109,402153.0,436858.0,452669.0,174511.0
567063.065966982,402358.0,437097.0,452857.0,174500.0
567063.0842928741,402587.0,437400.0,453205.0,174483.0
567063.1026187661,402820.0,437694.0,453436.0,174471.0
567063.1209446583,403007.0,438000.0,453780.0,174486.0
567063.1392705503,403282.0,438306.0,454024.0,174478.0
567063.1575964424,403447.0,438507.0,454263.0,174494.0
567063.1759223344,403610.0,438797.0,454555.0,174501.0
567063.1942482265,403778.0,439028.0,454743.0,174457.0
567063.2125741185,403756.0,439049.0,454723.0,174470.0
567063.2309000107,403521.0,438767.0,454440.0,174467.0
567063.2492259027,403114.0,438174.0,453867.0,174520.0
567063.2675517948,402640.0,437569.0,453266.0,174534.0
567063.2858776868,402072.0,436846.0,452619.0,174506.0
567063.3042035789,401499.0,436112.0,451946.0,174503.0
567063.322529471,401012.0,435480.0,451262.0,174512.0
567063.340855363,400459.0,434740.0,450594.0,174476.0
567063.3591812551,399980.0,434149.0,450024.0,174447.0
567063.3775071471,399679.0,433672.0,449543.0,174489.0
567063.3958330392,399345.0,433168.0,449098.0,174479.0
567063.4141589312,399046.0,432732.0,448791.0,174495.0
567063.4324848234,398892.0,432572.0,448562.0,174537.0
567063.4508107154,398863.0,432509.0,448545.0,174487.0
567063.4691366075,398951.0,432566.0,448639.0,174558.0
567063.4874624995,399008.0,432609.0,448758.0,174517.0
567063.5057883916,399058.0,432672.0,448772.0,174447.0
567063.5241142836,399228.0,432843.0,448985.0,174449.0
567063.5424401758,399409.0,433078.0,449170.0,174461.0
567063.5607660678,399489.0,433132.0,449238.0,174538.0
567063.5790919599,399558.0,433360.0,449416.0,174437.0
567063.5974178519,399718.0,433542.0,449590.0,174505.0
567063.615743744,399923.0,433782.0,449818.0,174519.0
567063.634069636,400101.0,433978.0,449943.0,174543.0
567063.6523955282,400214.0,434195.0,450226.0,174520.0
567063.6707214202,400345.0,434360.0,450387.0,174495.0
567063.6890473122,400509.0,434648.0,450593.0,174438.0
567063.7073732043,400766.0,434932.0,450933.0,174535.0
567063.7256990963,400999.0,435250.0,451217.0,174524.0
567063.7440249884,401114.0,435492.0,451444.0,174471.0
567063.7623508805,401361.0,435823.0,451716.0,174506.0
567063.7806767726,401647.0,436075.0,452030.0,174512.0
567063.7990026646,401898.0,436353.0,452381.0,174478.0
567063.8173285567,402118.0,436664.0,452640.0,174506.0
567063.8356544487,402287.0,436943.0,452862.0,174481.0
567063.8539803408,402589.0,437258.0,453182.0,174535.0
567063.8723062329,402758.0,437582.0,453404.0,174553.0
567063.890632125,402925.0,437818.0,453684.0,174530.0
567063.908958017,403200.0,438086.0,453976.0,174574.0
567063.927283909,403292.0,438327.0,454182.0,174528.0
567063.9456098011,403532.0,438555.0,454449.0,174566.0
