time_lsl,x_mG,y_mG,z_mG
774272.7977164098,-933.0,-19.0,183.0
774272.8174766309,-934.0,-20.0,179.0
774272.8372368522,-933.0,-20.0,181.0
774272.8569970734,-932.0,-19.0,185.0
774272.8767572946,-935.0,-19.0,183.0
774272.8965175158,-934.0,-19.0,176.0
774272.916277737,-930.0,-21.0,187.0
774272.9360379583,-931.0,-20.0,189.0
774272.9557981794,-935.0,-20.0,179.0
774272.9755584006,-934.0,-21.0,172.0
774272.9953186219,-932.0,-20.0,180.0
774273.0150788431,-935.0,-19.0,182.0
774273.0348390642,-937.0,-19.0,184.0
774273.0545992855,-934.0,-20.0,179.0
774273.0743595067,-931.0,-21.0,184.0
774273.094119728,-930.0,-21.0,185.0
774273.1138799491,-933.0,-21.0,183.0
774273.1336401703,-935.0,-20.0,180.0
774273.1534003916,-936.0,-22.0,182.0
774273.1731606127,-934.0,-21.0,179.0
774273.192920834,-932.0,-21.0,181.0
774273.2126810552,-932.0,-20.0,185.0
774273.2324412764,-934.0,-20.0,185.0
774273.2522014976,-932.0,-21.0,180.0
774273.2719617188,-933.0,-21.0,182.0
774273.29172194,-936.0,-22.0,183.0
774273.3114821613,-935.0,-23.0,184.0
774273.3312423824,-933.0,-22.0,183.0
774273.3510026037,-932.0,-21.0,182.0
774273.3707628249,-932.0,-20.0,183.0
774273.390523046,-932.0,-20.0,182.0
774273.4102832673,-932.0,-20.0,182.0
774273.4300434885,-932.0,-21.0,181.0
774273.4498037098,-934.0,-22.0,180.0
774273.4695639309,-934.0,-22.0,179.0
774273.4893241521,-933.0,-21.0,182.0
774273.5090843734,-932.0,-21.0,181.0
774273.5288445945,-931.0,-20.0,180.0
774273.5486048157,-934.0,-21.0,179.0
774273.568365037,-933.0,-22.0,182.0
774273.5881252582,-933.0,-22.0,185.0
774273.6078854793,-935.0,-22.0,185.0
774273.6276457006,-933.0,-23.0,183.0
774273.6474059218,-933.0,-22.0,185.0
774273.6671661431,-932.0,-22.0,180.0
774273.6869263642,-933.0,-20.0,178.0
774273.7066865854,-932.0,-21.0,182.0
774273.7264468067,-933.0,-20.0,182.0
774273.7462070278,-936.0,-23.0,175.0
774273.765967249,-931.0,-25.0,168.0
774273.7857274703,-927.0,-24.0,185.0
774273.8054876915,-933.0,-23.0,177.0
774273.8252479127,-932.0,-23.0,173.0
774273.8450081339,-933.0,-21.0,176.0
774273.8647683552,-932.0,-22.0,177.0
774273.8845285764,-932.0,-23.0,172.0
774273.9042887975,-932.0,-23.0,168.0
774273.9240490188,-931.0,-23.0,176.0
774273.94380924,-932.0,-21.0,177.0
774273.9635694611,-933.0,-22.0,180.0
774273.9833296824,-932.0,-22.0,182.0
774274.0030899036,-934.0,-23.0,185.0
774274.0228501249,-933.0,-23.0,180.0
774274.042610346,-932.0,-22.0,180.0
774274.0623705672,-932.0,-21.0,189.0
774274.0821307885,-933.0,-20.0,185.0
774274.1018910097,-933.0,-23.0,177.0
774274.1216512308,-932.0,-23.0,185.0
774274.1414114521,-935.0,-21.0,184.0
774274.1611716733,-935.0,-23.0,184.0
774274.1809318945,-932.0,-22.0,183.0
774274.2006921157,-931.0,-21.0,182.0
774274.220452337,-932.0,-21.0,183.0
774274.2402125582,-932.0,-20.0,182.0
774274.2599727793,-934.0,-20.0,181.0
774274.2797330006,-934.0,-22.0,183.0
774274.2994932218,-933.0,-22.0,184.0
774274.319253443,-932.0,-20.0,182.0
774274.3390136642,-932.0,-20.0,182.0
774274.3587738854,-933.0,-21.0,179.0
774274.3785341067,-932.0,-20.0,176.0
774274.3982943278,-934.0,-19.0,178.0
774274.418054549,-934.0,-20.0,177.0
774274.4378147703,-934.0,-20.0,180.0
774274.4575749915,-932.0,-20.0,183.0
774274.4773352126,-933.0,-19.0,182.0
774274.4970954339,-932.0,-18.0,179.0
774274.5168556551,-934.0,-18.0,177.0
774274.5366158762,-932.0,-19.0,182.0
774274.5563760975,-932.0,-19.0,183.0
774274.5761363187,-935.0,-19.0,177.0
774274.59589654,-933.0,-22.0,175.0
774274.6156567611,-929.0,-23.0,188.0
774274.6354169823,-934.0,-21.0,181.0
774274.6551772036,-935.0,-21.0,176.0
774274.6749374248,-932.0,-21.0,174.0
774274.694697646,-929.0,-18.0,182.0
774274.7144578672,-935.0,-18.0,181.0
774274.7342180884,-937.0,-18.0,179.0
774274.7539783096,-933.0,-18.0,178.0
774274.7737385308,-930.0,-18.0,182.0
774274.793498752,-931.0,-19.0,183.0
774274.8132589733,-933.0,-19.0,182.0
774274.8330191944,-933.0,-20.0,181.0
774274.8527794157,-934.0,-19.0,180.0
774274.8725396369,-933.0,-19.0,178.0
774274.8922998582,-931.0,-18.0,176.0
774274.9120600793,-933.0,-17.0,182.0
774274.9318203005,-934.0,-19.0,174.0
774274.9515805218,-932.0,-20.0,180.0
774274.9713407429,-934.0,-20.0,182.0
774274.9911009641,-934.0,-20.0,182.0
774275.0108611854,-933.0,-20.0,182.0
774275.0306214066,-933.0,-20.0,182.0
774275.0503816277,-934.0,-19.0,179.0
774275.070141849,-935.0,-20.0,175.0
774275.0899020702,-934.0,-19.0,173.0
774275.1096622915,-933.0,-19.0,175.0
774275.1294225126,-933.0,-19.0,179.0
